Datetime,Close
01-03-2021 12:06,11
01-03-2021 12:06,171
01-03-2021 12:06,52
01-03-2021 12:06,331
01-03-2021 12:06,100
01-03-2021 12:06,629
01-03-2021 12:06,1682
01-03-2021 12:06,513
01-03-2021 12:06,326
01-03-2021 12:06,774
01-03-2021 12:06,387
01-03-2021 12:07,1242
01-03-2021 12:07,13
01-03-2021 12:07,634
01-03-2021 12:07,231
01-03-2021 12:07,355
01-03-2021 12:07,1905
01-03-2021 12:07,876
01-03-2021 12:07,25
01-03-2021 12:07,35
01-03-2021 12:07,490
01-03-2021 12:07,841
01-03-2021 12:07,34
01-03-2021 12:07,895
01-03-2021 12:07,100
01-03-2021 12:07,1087
01-03-2021 12:07,10
01-03-2021 12:07,14
01-03-2021 12:07,543
01-03-2021 12:07,9
01-03-2021 12:07,1235
01-03-2021 12:07,1356
01-03-2021 12:07,1143
01-03-2021 12:07,139
01-03-2021 12:07,10
01-03-2021 12:07,15
01-03-2021 12:07,656
01-03-2021 12:07,12
01-03-2021 12:07,453
01-03-2021 12:07,1290
01-03-2021 12:07,39
01-03-2021 12:07,21
01-03-2021 12:07,515
01-03-2021 12:07,47
01-03-2021 12:07,17
01-03-2021 12:07,338
01-03-2021 12:07,47
01-03-2021 12:07,270
01-03-2021 12:07,23
01-03-2021 12:07,65
01-03-2021 12:07,98
01-03-2021 12:07,333
01-03-2021 12:07,138
01-03-2021 12:07,548
01-03-2021 12:07,145
01-03-2021 12:07,410
01-03-2021 12:07,939
01-03-2021 12:07,58
01-03-2021 12:07,60
01-03-2021 12:07,620
01-03-2021 12:07,11
01-03-2021 12:07,466
01-03-2021 12:07,238
01-03-2021 12:07,309
01-03-2021 12:07,89
01-03-2021 12:07,43
01-03-2021 12:07,20
01-03-2021 12:07,1238
01-03-2021 12:07,188
01-03-2021 12:07,411
01-03-2021 12:07,35383
01-03-2021 12:07,585
01-03-2021 12:07,676
01-03-2021 12:07,11
01-03-2021 12:07,19
01-03-2021 12:07,172
01-03-2021 12:07,35200
